,,authority,portrait,year,obj,denomination,material,region,deity,url,fname,years_bins
0,22713,Antoninus Pius,Antoninus Pius,145.0,Coin,Aureus,Gold,Italy,Felicitas,http://numismatics.org/collectionimages/19501999/1954/1954.256.38.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590969188.96967,101-150
0,17824,Antoninus Pius,Antoninus Pius,150.0,Coin,Sestertius,Bronze,Italy,Moneta,http://numismatics.org/collectionimages/19501999/1957/1957.172.1723.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967856.4295251,101-150
0,16583,Antoninus Pius,Antoninus Pius,147.0,Coin,Dupondius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19001949/1947/1947.2.475.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967524.5650272,101-150
0,30098,Antoninus Pius,Antoninus Pius,155.0,Coin,Dupondius,Bronze,Italy,Pax,http://numismatics.org/collectionimages/20002049/2003/2003.15.3.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590971202.5800817,151-200
0,24194,Antoninus Pius,Antoninus Pius,151.0,Coin,Aureus,Gold,Italy,Pax,http://numismatics.org/collectionimages/19501999/1969/1969.26.3.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590969585.805206,151-200
0,34521,Antoninus Pius,Antoninus Pius,141.0,Coin,Tetradrachm,Billon,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.58646.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972411.7447832,101-150
0,34767,Antoninus Pius,Antoninus Pius,156.0,Coin,Tetradrachm,Billon,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.58930.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972475.6644225,151-200
0,43560,Antoninus Pius,Antoninus Pius,158.0,Coin,Tetradrachm,Billon,Egypt,Zeus,http://numismatics.org/collectionimages/19001949/1944/1944.100.58998.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974867.1093364,151-200
0,43562,Antoninus Pius,Antoninus Pius,158.0,Coin,Tetradrachm,Billon,Egypt,Nike,http://numismatics.org/collectionimages/19001949/1944/1944.100.59001.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974867.5538576,151-200
0,6412,Antoninus Pius,Antoninus Pius,145.0,Coin,As,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48269.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964772.5047026,101-150
0,33004,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Felicitas,http://numismatics.org/collectionimages/19001949/1944/1944.100.47495.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972008.1908464,101-150
0,40033,Antoninus Pius,Antoninus Pius,151.0,Coin,Drachm,Bronze,Egypt,Tyche,http://numismatics.org/collectionimages/19001949/1944/1944.100.60659.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590973914.2397525,151-200
0,12393,Antoninus Pius,Antoninus Pius,156.0,Coin,Drachm,Bronze,Egypt,Cybele,http://numismatics.org/collectionimages/19001949/1944/1944.100.60851.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590966385.7177703,151-200
0,40106,Antoninus Pius,Antoninus Pius,148.0,Coin,Drachm,Bronze,Egypt,Nike,http://numismatics.org/collectionimages/19001949/1944/1944.100.60533.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590973932.9633179,101-150
0,12445,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Nilus,http://numismatics.org/collectionimages/19001949/1944/1944.100.60976.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590966398.895958,101-150
0,34857,Antoninus Pius,Antoninus Pius,148.0,Coin,Didrachm,Silver,Cappadocia,,http://numismatics.org/collectionimages/19001949/1944/1944.100.59451.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972499.4250627,101-150
0,18225,Antoninus Pius,Antoninus Pius,156.0,Coin,Sestertius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19501999/1983/1983.42.2.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967963.5012636,151-200
0,38099,Antoninus Pius,Antoninus Pius,143.0,Coin,As,Bronze,Italy,Remus,http://numismatics.org/collectionimages/19001949/1937/1937.158.502.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590973397.4554033,101-150
0,41983,Antoninus Pius,Antoninus Pius,143.0,Coin,As,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.371.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974442.5039966,101-150
0,12446,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Nilus,http://numismatics.org/collectionimages/19001949/1944/1944.100.60977.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590966399.1328337,101-150
0,6531,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,Securitas,http://numismatics.org/collectionimages/19001949/1944/1944.100.48261.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964802.743906,101-150
0,15624,Antoninus Pius,Antoninus Pius,138.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1946/1946.35.25.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967255.888534,101-150
0,40940,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Remus,http://numismatics.org/collectionimages/19501999/1956/1956.127.376.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974158.9956398,101-150
0,41994,Antoninus Pius,Antoninus Pius,158.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.382.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974445.084009,151-200
0,6535,Antoninus Pius,Antoninus Pius,158.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48303.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964803.7006109,151-200
0,25172,Antoninus Pius,Antoninus Pius,145.0,Coin,As,Bronze,Italy,Pietas,http://numismatics.org/collectionimages/19501999/1955/1955.18.11.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590969867.7974017,101-150
