,authority,portrait,year,obj,denomination,material,region,deity,url,fname,years_bins,code
0,Antoninus Pius,Antoninus Pius,145.0,Coin,Aureus,Gold,Italy,Felicitas,http://numismatics.org/collectionimages/19501999/1954/1954.256.38.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590969188.96967.jpg,101-150,0
1,Antoninus Pius,Antoninus Pius,150.0,Coin,Sestertius,Bronze,Italy,Moneta,http://numismatics.org/collectionimages/19501999/1957/1957.172.1723.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967856.4295251.jpg,101-150,0
2,Antoninus Pius,Antoninus Pius,147.0,Coin,Dupondius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19001949/1947/1947.2.475.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967524.5650272.jpg,101-150,0
3,Antoninus Pius,Antoninus Pius,155.0,Coin,Dupondius,Bronze,Italy,Pax,http://numismatics.org/collectionimages/20002049/2003/2003.15.3.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590971202.5800817.jpg,151-200,0
4,Antoninus Pius,Antoninus Pius,151.0,Coin,Aureus,Gold,Italy,Pax,http://numismatics.org/collectionimages/19501999/1969/1969.26.3.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590969585.805206.jpg,151-200,0
5,Antoninus Pius,Antoninus Pius,141.0,Coin,Tetradrachm,Billon,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.58646.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972411.7447832.jpg,101-150,0
6,Antoninus Pius,Antoninus Pius,156.0,Coin,Tetradrachm,Billon,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.58930.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972475.6644225.jpg,151-200,0
7,Antoninus Pius,Antoninus Pius,158.0,Coin,Tetradrachm,Billon,Egypt,Zeus,http://numismatics.org/collectionimages/19001949/1944/1944.100.58998.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974867.1093364.jpg,151-200,0
8,Antoninus Pius,Antoninus Pius,158.0,Coin,Tetradrachm,Billon,Egypt,Nike,http://numismatics.org/collectionimages/19001949/1944/1944.100.59001.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974867.5538576.jpg,151-200,0
9,Antoninus Pius,Antoninus Pius,145.0,Coin,As,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48269.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964772.5047026.jpg,101-150,0
10,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Felicitas,http://numismatics.org/collectionimages/19001949/1944/1944.100.47495.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972008.1908464.jpg,101-150,0
11,Antoninus Pius,Antoninus Pius,151.0,Coin,Drachm,Bronze,Egypt,Tyche,http://numismatics.org/collectionimages/19001949/1944/1944.100.60659.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973914.2397525.jpg,151-200,0
12,Antoninus Pius,Antoninus Pius,156.0,Coin,Drachm,Bronze,Egypt,Cybele,http://numismatics.org/collectionimages/19001949/1944/1944.100.60851.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966385.7177703.jpg,151-200,0
13,Antoninus Pius,Antoninus Pius,148.0,Coin,Drachm,Bronze,Egypt,Nike,http://numismatics.org/collectionimages/19001949/1944/1944.100.60533.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973932.9633179.jpg,101-150,0
14,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Nilus,http://numismatics.org/collectionimages/19001949/1944/1944.100.60976.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966398.895958.jpg,101-150,0
15,Antoninus Pius,Antoninus Pius,148.0,Coin,Didrachm,Silver,Cappadocia,,http://numismatics.org/collectionimages/19001949/1944/1944.100.59451.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972499.4250627.jpg,101-150,0
16,Antoninus Pius,Antoninus Pius,156.0,Coin,Sestertius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19501999/1983/1983.42.2.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967963.5012636.jpg,151-200,0
17,Antoninus Pius,Antoninus Pius,143.0,Coin,As,Bronze,Italy,Remus,http://numismatics.org/collectionimages/19001949/1937/1937.158.502.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973397.4554033.jpg,101-150,0
18,Antoninus Pius,Antoninus Pius,143.0,Coin,As,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.371.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974442.5039966.jpg,101-150,0
